Date,YoY,InfChange
1969-12-31,6.402163808,-0.005472205982916867
1970-01-31,6.592370014,0.0297096749949326
1970-02-28,7.053805927,0.0699954511078813
1970-03-31,6.993096123,-0.008606673422587363
1970-04-30,6.817838113,-0.025061576005452557
1970-05-31,6.947734731,0.01905246440984243
1970-06-30,7.151974844,0.02939664810297149
1970-07-31,7.00787567,-0.020148165666562523
1970-08-31,7.114872285,0.015268052693634626
1970-09-30,7.081263039,-0.004723801728789501
1970-10-31,7.057638255,-0.0033362387288662365
1970-11-30,7.327620064,0.038253846293231586
1970-12-31,7.342681298,0.002055405966528534
1971-01-31,7.014858012,-0.044646263768698735
1971-02-28,6.329604979,-0.09768594486556526
1971-03-31,5.50160847,-0.1308132990521651
1971-04-30,5.306250794,-0.03550919282338527
1971-05-31,5.060279237,-0.04635505680925056
1971-06-30,5.239199701,0.035357824266250226
1971-07-31,5.165044197,-0.014153975460382995
1971-08-31,4.913620811,-0.04867787697654813
1971-09-30,4.672385308,-0.04909526238979456
1971-10-31,4.376576593,-0.06331000024623823
1971-11-30,3.953153899,-0.09674746574234128
1971-12-31,3.677258309,-0.06979125959902333
1972-01-31,3.728280469,0.01387505465012473
1972-02-29,3.841502967,0.03036855701748431
1972-03-31,4.057916253,0.05633557694971847
1972-04-30,3.971403024,-0.021319619136063173
1972-05-31,3.863863418,-0.027078492248234665
1972-06-30,3.488589959,-0.09712389347195094
1972-07-31,3.467340855,-0.0060910293986200514
1972-08-31,3.366129082,-0.029190026949340697
1972-09-30,3.1247262,-0.07171527773277475
1972-10-31,3.331141241,0.06605860091037741
1972-11-30,3.268535943,-0.018793948821337336
1972-12-31,3.147816809,-0.03693370246043515
1973-01-31,2.842802671,-0.09689704214296302
1973-02-28,2.881142745,0.01348671660932177
1973-03-31,2.929374136,0.016740368412395235
1973-04-30,3.031703085,0.03493201764241993
1973-05-31,3.175423207,0.04740573795339187
1973-06-30,3.098743668,-0.024147817157399776
1973-07-31,3.013319714,-0.027567286343221364
1973-08-31,3.322713188,0.10267528950298432
1973-09-30,3.944607922,0.18716473520675114
1973-10-31,4.765238145,0.20803847663113828
1973-11-30,4.927794502,0.034112955544638446
1973-12-31,5.30805948,0.07716737738265356
1974-01-31,5.845776926,0.10130207621561915
1974-02-28,6.291538116,0.07625354091385317
1974-03-31,6.816162733,0.08338574881487681
1974-04-30,7.104721156,0.04233443864286923
1974-05-31,7.728315605,0.08777184006347216
1974-06-30,8.616369341,0.11490909292387785
1974-07-31,9.526994824,0.10568552100789064
1974-08-31,10.103211029,0.060482472767637185
1974-09-30,10.593110106,0.048489443167504254
1974-10-31,10.561468061,-0.0029870401311204997
1974-11-30,10.985727169,0.04017046735828789
1974-12-31,11.496042915,0.046452614210193754
1975-01-31,11.624378564,0.011163462936672586
1975-02-28,11.784135357,0.01374325449919156
1975-03-31,11.573788456,-0.01785000720269636
1975-04-30,11.698351766,0.010762535575412624
1975-05-31,10.926931315,-0.06594266153305894
1975-06-30,10.432971739,-0.045205699730345605
1975-07-31,9.76743143,-0.0637920168528886
1975-08-31,8.920589927,-0.08670053217870399
1975-09-30,8.520421165,-0.04485900206989746
1975-10-31,8.109587525,-0.04821752728463857
1975-11-30,8.092959791,-0.0020503797448070404
1975-12-31,7.685189103,-0.05038585369637849
1976-01-31,7.691042386,0.0007616316165486303
1976-02-29,7.373666255,-0.04126568481506743
1976-03-31,7.334813689,-0.005269097441676918
1976-04-30,6.847460223,-0.06644387801300022
1976-05-31,6.965887097,0.017295007220665015
1976-06-30,6.871017008,-0.013619240116719444
1976-07-31,7.088593777,0.031665875480539896
1976-08-31,7.352526572,0.037233449017260556
1976-09-30,7.092183496,-0.035408654895780045
1976-10-31,6.878373933,-0.030147212508050414
1976-11-30,6.612229044,-0.03869299511664093
1976-12-31,6.196677638,-0.06284588801065139
1977-01-31,6.048908185,-0.023846561275647216
1977-02-28,6.05231412,0.0005630660766922091
1977-03-31,6.102888398,0.008356188558170885
1977-04-30,6.580655715,0.0782854422107031
1977-05-31,6.741041444,0.02437230208448926
1977-06-30,6.920217354,0.026579855870709546
1977-07-31,6.881150829,-0.005645274274140966
1977-08-31,6.832672177,-0.007045137245893618
1977-09-30,6.873489359,0.005973824141219275
1977-10-31,6.950144555,0.011152297180707649
1977-11-30,6.999499128,0.007101229709602919
1977-12-31,7.363992642,0.05207422807468065
1978-01-31,7.371987718,0.001085698531853474
1978-02-28,7.341035476,-0.004198629078616678
1978-03-31,7.433603181,0.012609625073006558
1978-04-30,7.413807475,-0.002663002788553026
1978-05-31,7.643491412,0.030980564005002043
1978-06-30,7.679164103,0.004667067584323448
1978-07-31,7.912838518,0.030429668107849306
1978-08-31,8.176594615,0.033332677824779555
1978-09-30,8.576148162,0.04886551991546906
1978-10-31,9.03646557,0.05367414360209133
1978-11-30,9.211524761,0.019372528965436953
1978-12-31,9.058012586,-0.016665229588259223
1979-01-31,9.070516336,0.0013804076646268815
1979-02-28,9.571356337,0.055216261395419464
1979-03-31,9.675145162,0.010843690418126384
1979-04-30,9.918953512,0.025199451369223747
1979-05-31,10.082376559,0.016475835560907814
1979-06-30,10.269173247,0.018527049342672575
1979-07-31,10.50434739,0.0229009811543206
1979-08-31,10.93575743,0.041069666108976666
1979-09-30,10.98372295,0.0043861177707194
1979-10-31,11.257284188,0.02490605774064969
1979-11-30,11.926588317,0.05945520409917893
1979-12-31,12.734186684,0.06771411450908049
1980-01-31,13.469735746,0.05776176211741779
1980-02-29,13.599492679,0.009633220387306629
1980-03-31,14.331667424,0.05383838664295215
1980-04-30,14.755204998,0.029552567853391443
1980-05-31,15.115272835,0.02440276750128567
1980-06-30,15.774166719,0.0435912663431588
1980-07-31,14.133410238,-0.10401541395043756
1980-08-31,13.268359535,-0.061206084620268664
1980-09-30,13.087752647,-0.013611847608107519
1980-10-31,13.084188753,-0.00027230756082619045
1980-11-30,12.870601808,-0.016324049509835126
1980-12-31,12.685251999,-0.014401021161636107
1981-01-31,12.018100571,-0.052592682278018055
1981-02-28,11.229271193,-0.0656367762392891
1981-03-31,10.319341471,-0.08103194823251081
1981-04-30,9.710596634,-0.058990667060560886
1981-05-31,9.603160634,-0.01106378980090994
1981-06-30,9.212167638,-0.04071503236295859
1981-07-31,11.238230349,0.21993333063572718
1981-08-31,11.81874206,0.05165508207007474
1981-09-30,12.228963711,0.03470941737432254
1981-10-31,11.266251913,-0.07872390668180962
1981-11-30,10.524035314,-0.06587963812024866
1981-12-31,9.855791699,-0.06349689972163486
1982-01-31,9.469843405,-0.03915954250932052
1982-02-28,9.539828014,0.007390260430605089
1982-03-31,8.890430545,-0.06807224072037665
1982-04-30,9.081124943,0.021449399670216085
1982-05-31,9.052945034,-0.0031031297528532065
1982-06-30,8.878235542,-0.01929863611718019
1982-07-31,7.889386151,-0.11137904444211699
1982-08-31,7.329095724,-0.07101825367351067
